up,51612
get,48750
all,43168
so,42408
dont,42204
got,41646
this,40386
but,39414
know,38558
what,37255
no,35868
it's,34196
they,33674
when,33133
out,32241
now,30222
do,29620
just,29273
nigga,28342
if,27623
aint,26853
can,25447
love,24746
from,23338
was,23058
one,22590
ya,22544
chorus,22414
shit,22300
down,22188
see,22147
back,20664
go,19743
at,19677
make,19402
cause,19193
yeah,18844
baby,18826
man,18434
come,18419
cant,18404
yo,17856
time,17276
wanna,17173
fuck,16846
how,16588
never,15961
he,15895
let,15600
niggas,15427
not,15314
that's,15152
say,15083
some,14982
take,14670
she,14562
want,14413
or,14357
as,14092
have,13912
then,13638
who,13514
right,13508
oh,13425
them,13303
off,13301
her,13249
way,13204
you're,13135
about,12642
here,12335
life,12226
keep,12156
niggaz,11978
bitch,11673
are,11344
tell,11095
girl,10999
where,10998
give,10991
need,10954
i'll,10877
ass,10426
will,10403
more,10387
by,10293
why,10136
gotta,10073
put,9937
y'all,9904
feel,9843
real,9794
these,9752
gonna,9714
verse,9674
still,9587
his,9582
through,9482
us,9263
money,9152
think,9015
been,8936
uh,8846
big,8725
there,8561
too,8454
hit,8435
had,8259
stop,8200
'em,8135
could,8098
good,8089
day,8061
around,7995
said,7920
over,7834
wit,7576
two,7468
look,7414
him,7388
than,7351
little,7321
only,7317
world,7307
better,7209
even,6905
an,6900
game,6834
every,6740
night,6641
em,6500
call,6456
new,6392
cuz,6385
fuckin,6169
wont,6161
mind,6116
black,6089
run,6044
live,5955
really,5932
play,5890
1,5883
boy,5829
would,5786
head,5761
hard,5760
rock,5760
try,5713
show,5696
die,5678
our,5607
before,5591
2,5495
while,5493
stay,5407
well,5402
hey,5315
leave,5310
people,5285
gon,5180
did,5156
repeat,5137
hot,5095
hold,5059
always,5047
again,5027
gettin,5004
name,4996
hear,4979
away,4969
da,4944
long,4937
high,4913
let's,4901
check,4888
ride,4879
ever,4879
bitches,4855
heart,4808
god,4791
home,4716
watch,4709
la,4675
made,4675
what's,4660
face,4657
another,4636
thing,4627
first,4607
same,4603
much,4602
tryin,4601
rap,4587
done,4579
i've,4558
things,4509
huh,4507
its,4498
there's,4452
damn,4390
into,4372
eyes,4362
bad,4324
whole,4303
i'ma,4294
turn,4187
bring,4186
'cause,4168
ha,4164
find,4115
break,4085
gone,4071
ready,4059
hoes,4012
thought,3958
house,3943
beat,3939
talk,3935
g,3926
last,3915
told,3886
body,3873
goin,3860
move,3816
start,3790
believe,3777
u,3777
am,3760
bout,3735
because,3734
many,3699
mine,3692
lil,3691
comin,3675
other,3662
came,3637
best,3632
straight,3613
dick,3578
roll,3571
should,3554
drop,3516
you'll,3488
three,3488
im,3473
didnt,3460
2x,3450
we're,3445
young,3432
heard,3419
word,3416
left,3408
streets,3404
hook,3396
bust,3381
next,3343
yes,3338
everybody,3330
kill,3328
without,3315
might,3306
e,3285
dead,3251
walk,3232
top,3224
mean,3223
used,3216
hell,3203
thug,3201
please,3194
block,3182
something,3178
street,3161
everything,3152
place,3139
wrong,3135
smoke,3134
nothing,3111
tha,3093
were,3090
old,3078
work,3062
crazy,3057
hand,3052
gun,3040
end,3026
side,3025
tonight,3025
b,3016
own,3003
hands,3002
flow,3000
hood,2974
lookin,2973
blow,2961
style,2959
ooh,2959
he's,2951
going,2946
pop,2937
seen,2934
change,2929
bone,2922
girls,2921
ah,2899
mad,2894
true,2891
after,2882
light,2879
inside,2879
till,2875
throw,2850
party,2840
cool,2830
times,2827
catch,2826
ask,2825
stand,2824
p,2808
talkin,2806
doin,2790
listen,2786
until,2771
nothin,2753
uhh,2736
i'd,2732
ice,2717
their,2716
those,2715
3,2712
rhymes,2705
step,2688
fly,2686
shot,2670
must,2660
soul,2653
deep,2634
nobody,2630
hate,2623
o,2621
son,2616
d,2592
cut,2585
though,2581
took,2575
livin,2567
since,2566
understand,2563
set,2561
ghetto,2552
rhyme,2540
full,2536
kid,2529
any,2527
crew,2517
remember,2516
mic,2509
enough,2491
somethin,2475
fall,2456
dog,2453
knew,2449
pull,2434
alone,2420
pain,2418
cold,2417
low,2416
motherfucker,2414
dance,2414
brother,2402
front,2401
together,2399
went,2397
wait,2391
kick,2374
motherfuckin,2372
makin,2369
lot,2368
free,2350
friends,2337
days,2336
once,2326
bang,2324
care,2315
cash,2314
she's,2292
c'mon,2289
door,2286
nine,2283
sayin,2278
open,2278
song,2272
fire,2266
runnin,2258
goes,2255
couldnt,2254
club,2242
hoe,2233
lay,2232
four,2225
yo',2224
touch,2215
lost,2215
death,2214
matter,2206
weed,2201
na,2198
dope,2195
five,2186
sound,2185
line,2182
fool,2179
t,2176
fat,2165
trying,2161
city,2151
war,2145
car,2144
peace,2143
sure,2143
wish,2139
lord,2138
kids,2138
act,2135
close,2128
quick,2118
murder,2113
caught,2113
cry,2098
myself,2095
gangsta,2094
slow,2086
crack,2085
mouth,2080
comes,2073
music,2072
help,2065
motherfuckers,2064
pass,2051
has,2047
wild,2045
white,2044
daddy,2038
town,2034
n,2030
blood,2012
plus,2012
pay,2011
c,2005
hop,1996
shake,1995
broke,1988
somebody,1984
guess,1983
j,1980
hope,1978
gets,1964
hip,1963
thugs,1955
getting,1944
maybe,1942
strong,1933
six,1929
fucked,1926
words,1926
spot,1923
rest,1922
king,1910
who's,1910
rollin,1904
fast,1900
pussy,1898
boys,1896
years,1883
under,1880
talking,1878
coming,1870
half,1869
feelin,1863
gave,1862
thinkin,1847
heat,1837
family,1836
most,1828
friend,1825
dream,1821
eat,1819
dogg,1818
started,1813
thang,1803
tight,1801
tried,1798
sleep,1798
sweet,1781
thats,1780
l,1780
makes,1780
wasnt,1775
red,1757
miss,1754
forever,1749
shoot,1742
til,1741
spit,1731
yea,1729
fight,1729
hurt,1727
forget,1715
eye,1714
you've,1714
floor,1708
lose,1707
type,1704
ya'll,1703
sing,1703
mr,1702
guns,1701
yourself,1701
behind,1699
round,1691
feeling,1677
